t,S,I,R,D,beta,gamma,mu,R0
239.0,5765800.0,-1.109375,53080.293,3266.99,0.019802932,0.030078866,0.00014408067,0.6552284
240.0,5765800.0,-1.1010742,53080.27,3266.9998,0.01980127,0.030078964,0.00014408334,0.6551712
241.0,5765800.0,-1.0932617,53080.242,3267.0095,0.019799674,0.030079063,0.00014408646,0.65511614
242.0,5765800.0,-1.0844727,53080.227,3267.0193,0.01979813,0.030079164,0.00014408995,0.6550628
243.0,5765800.0,-1.0742188,53080.207,3267.0293,0.019796649,0.030079264,0.00014409384,0.65501153
244.0,5765800.0,-1.0688477,53080.18,3267.039,0.019795224,0.030079367,0.00014409813,0.6549621
245.0,5765800.0,-1.0629883,53080.164,3267.0493,0.019793864,0.03007947,0.00014410281,0.6549148
246.0,5765800.0,-1.0556641,53080.15,3267.0593,0.01979256,0.030079573,0.00014410788,0.6548693
247.0,5765800.0,-1.046875,53080.13,3267.0693,0.019791316,0.030079678,0.00014411335,0.65482575
248.0,5765800.0,-1.0415039,53080.117,3267.0798,0.019790128,0.030079784,0.00014411921,0.654784
249.0,5765800.0,-1.0366211,53080.105,3267.09,0.019789001,0.03007989,0.00014412549,0.65474427
250.0,5765800.0,-1.0322266,53080.086,3267.1008,0.019787934,0.030079998,0.00014413215,0.6547065
251.0,5765800.0,-1.0263672,53080.082,3267.1113,0.01978692,0.030080108,0.0001441392,0.6546704
252.0,5765800.0,-1.0209961,53080.074,3267.1218,0.019785969,0.030080216,0.00014414662,0.65463644
253.0,5765800.0,-1.0185547,53080.062,3267.1323,0.019785076,0.030080328,0.00014415443,0.6546043
254.0,5765800.0,-1.0141602,53080.055,3267.143,0.019784242,0.03008044,0.00014416265,0.6545741
255.0,5765800.0,-1.0102539,53080.043,3267.1538,0.01978346,0.030080551,0.00014417127,0.6545456
256.0,5765800.0,-1.0073242,53080.047,3267.165,0.01978274,0.030080665,0.00014418026,0.6545192
257.0,5765800.0,-1.0048828,53080.04,3267.176,0.01978208,0.030080779,0.00014418963,0.65449464
258.0,5765800.0,-1.0009766,53080.04,3267.187,0.019781474,0.030080894,0.00014419935,0.65447193
259.0,5765800.0,-1.0014648,53080.03,3267.1982,0.01978093,0.030081011,0.00014420955,0.65445113
260.0,5765800.0,-0.99853516,53080.03,3267.2097,0.019780444,0.030081127,0.00014422009,0.6544323
261.0,5765800.0,-0.9946289,53080.027,3267.2207,0.01978001,0.030081246,0.00014423102,0.6544152
262.0,5765800.0,-0.99365234,53080.023,3267.2324,0.019779641,0.030081365,0.00014424231,0.6544001
263.0,5765800.0,-0.9946289,53080.03,3267.2437,0.019779317,0.030081484,0.000144254,0.6543866
